,date,home_team,away_team,home_score,away_score,url
0,30.11. 15:10,Ireland,Australia,22,19,https://www.flashscore.com/match/48RLI9fA/#/match-summary
1,24.11. 16:10,England,Japan,59,14,https://www.flashscore.com/match/neZhHHz3/#/match-summary
2,24.11. 14:00,Georgia,Tonga,22,7,https://www.flashscore.com/match/E7foxQ4F/#/match-summary
3,24.11. 13:40,Scotland,Australia,27,13,https://www.flashscore.com/match/rL3iSjkK/#/match-summary
4,23.11. 20:10,Italy,New Zealand,11,29,https://www.flashscore.com/match/rT9QgYGl/#/match-summary
5,23.11. 18:00,Scotland A,Chile,19,17,https://www.flashscore.com/match/UqOkrbsp/#/match-summary
6,23.11. 17:40,Wales,South Africa,12,45,https://www.flashscore.com/match/d660BRnp/#/match-summary
7,23.11. 16:00,Romania,Uruguay,21,23,https://www.flashscore.com/match/2ZwBktkA/#/match-summary
8,23.11. 15:10,Ireland,Fiji,52,17,https://www.flashscore.com/match/4W9895Hd/#/match-summary
9,23.11. 11:45,Spain,USA,23,26,https://www.flashscore.com/match/ULu3i2Kc/#/match-summary
10,22.11. 20:10,France,Argentina,37,23,https://www.flashscore.com/match/SdHr2d98/#/match-summary
11,17.11. 16:10,Wales,Australia,20,52,https://www.flashscore.com/match/KMn0Fe5F/#/match-summary
12,17.11. 14:00,England A,Australia A,38,17,https://www.flashscore.com/match/EJYPV6aM/#/match-summary
13,17.11. 13:40,Italy,Georgia,20,17,https://www.flashscore.com/match/xMPTGmPM/#/match-summary
14,16.11. 20:10,France,New Zealand,30,29,https://www.flashscore.com/match/4xBMfE1r/#/match-summary
15,16.11. 17:40,England,South Africa,20,29,https://www.flashscore.com/match/KWVZYcuM/#/match-summary
16,16.11. 16:30,USA,Tonga,36,17,https://www.flashscore.com/match/A5pTvPzh/#/match-summary
17,16.11. 16:00,Romania,Canada,35,27,https://www.flashscore.com/match/UVrHTbSj/#/match-summary
18,16.11. 15:10,Scotland,Portugal,59,21,https://www.flashscore.com/match/AH8c69S0/#/match-summary
19,16.11. 14:00,Spain,Fiji,19,33,https://www.flashscore.com/match/OKW26u5m/#/match-summary
20,16.11. 13:30,Japan,Uruguay,36,20,https://www.flashscore.com/match/xY3xyszH/#/match-summary
21,16.11. 13:00,Netherlands,Chile,20,17,https://www.flashscore.com/match/U70Ux354/#/match-summary
22,16.11. 13:00,Uganda,Kenya,5,21,https://www.flashscore.com/match/dnAqJIlg/#/match-summary
23,16.11. 08:00,Hong Kong,Brazil,38,17,https://www.flashscore.com/match/QViO0eWH/#/match-summary
24,16.11. 07:00,South Korea,Zimbabwe,22,27,https://www.flashscore.com/match/lfjxYpuH/#/match-summary
25,15.11. 20:10,Ireland,Argentina,22,19,https://www.flashscore.com/match/juYawDW7/#/match-summary
26,10.11. 16:10,Scotland,South Africa,15,32,https://www.flashscore.com/match/EkFl8Vcl/#/match-summary
27,10.11. 13:40,Wales,Fiji,19,24,https://www.flashscore.com/match/A9YCKVPc/#/match-summary
28,10.11. 13:00,Georgia,New Zealand A,13,31,https://www.flashscore.com/match/SfAR81WG/#/match-summary
29,09.11. 20:10,France,Japan,52,12,https://www.flashscore.com/match/r3tRdSXj/#/match-summary
30,09.11. 17:40,Italy,Argentina,18,50,https://www.flashscore.com/match/ClZevgH1/#/match-summary
31,09.11. 16:00,Portugal,USA,17,21,https://www.flashscore.com/match/UoPgQPLb/#/match-summary
32,09.11. 16:00,Romania,Tonga,25,15,https://www.flashscore.com/match/IBcsHLro/#/match-summary
33,09.11. 15:10,England,Australia,37,42,https://www.flashscore.com/match/OEThFzlI/#/match-summary
34,09.11. 13:00,Kenya,Uganda,27,25,https://www.flashscore.com/match/GlQpHdJ5/#/match-summary
35,09.11. 11:45,Spain,Uruguay,33,24,https://www.flashscore.com/match/ALd43Goo/#/match-summary
36,09.11. 11:00,Canada,Chile,14,44,https://www.flashscore.com/match/j1D2O3jB/#/match-summary
37,09.11. 08:00,Hong Kong,Brazil,10,23,https://www.flashscore.com/match/OIDjYN9t/#/match-summary
38,08.11. 20:10,Ireland,New Zealand,13,23,https://www.flashscore.com/match/beYgafgR/#/match-summary
39,05.11. 15:30,United Arab Emirates,Zimbabwe,22,62,https://www.flashscore.com/match/IVTwOmZG/#/match-summary
40,02.11. 17:40,Scotland,Fiji,57,17,https://www.flashscore.com/match/IJTIDizR/#/match-summary
41,02.11. 17:30,Munster,New Zealand A,24,38,https://www.flashscore.com/match/GMcuUhmC/#/match-summary
42,02.11. 15:10,England,New Zealand,22,24,https://www.flashscore.com/match/6mGn1GOE/#/match-summary
43,26.10. 06:50,Japan,New Zealand,19,64,https://www.flashscore.com/match/pEFERFXe/#/match-summary
44,06.10. 19:40,Chile,Brazil,36,10,https://www.flashscore.com/match/Ewo9t0Yp/#/match-summary
45,27.07. 20:00,Uruguay,Scotland,19,31,https://www.flashscore.com/match/MizAFD5E/#/match-summary
46,27.07. 19:30,Brazil,Belgium,47,25,https://www.flashscore.com/match/ELBFIXb4/#/match-summary
47,21.07. 06:05,Japan,Italy,14,42,https://www.flashscore.com/match/UswNy0e3/#/match-summary
48,20.07. 23:15,Paraguay,Belgium,20,45,https://www.flashscore.com/match/8rkl2CEN/#/match-summary
49,20.07. 20:00,Chile,Scotland,11,52,https://www.flashscore.com/match/fuaFgWre/#/match-summary
50,20.07. 20:00,Uruguay,Argentina,5,79,https://www.flashscore.com/match/nFe7ehEr/#/match-summary
51,20.07. 19:30,Brazil,Hong Kong,25,26,https://www.flashscore.com/match/zVjt4YqB/#/match-summary
52,20.07. 16:00,South Africa,Portugal,64,21,https://www.flashscore.com/match/zqdWExlj/#/match-summary
53,20.07. 06:45,Australia,Georgia,40,29,https://www.flashscore.com/match/tMdSFIYq/#/match-summary
54,20.07. 03:30,New Zealand,Fiji,47,5,https://www.flashscore.com/match/jivJxttc/#/match-summary
55,19.07. 10:45,Reds,Wales,35,36,https://www.flashscore.com/match/fHGS2zM8/#/match-summary
56,19.07. 03:30,Tonga,Spain,20,29,https://www.flashscore.com/match/hnaP7Gpn/#/match-summary
57,14.07. 01:00,Paraguay,Hong Kong,12,80,https://www.flashscore.com/match/EHcD0awJ/#/match-summary
58,13.07. 20:00,Argentina,France,33,25,https://www.flashscore.com/match/IRZiuZ1e/#/match-summary
59,13.07. 20:00,Chile,Belgium,33,5,https://www.flashscore.com/match/6if52L86/#/match-summary
60,13.07. 16:00,South Africa,Ireland,24,25,https://www.flashscore.com/match/zsVx9ALa/#/match-summary
61,13.07. 14:00,Namibia,Portugal,22,37,https://www.flashscore.com/match/AP0d4svf/#/match-summary
62,13.07. 11:05,Japan,Georgia,23,25,https://www.flashscore.com/match/QZyhOtR3/#/match-summary
63,13.07. 10:45,Australia,Wales,36,28,https://www.flashscore.com/match/MwRY9j6g/#/match-summary
64,13.07. 08:05,New Zealand,England,24,17,https://www.flashscore.com/match/vwtdN0tA/#/match-summary
65,13.07. 04:00,Samoa,Spain,34,30,https://www.flashscore.com/match/xC2l639s/#/match-summary
66,13.07. 00:00,Canada,Romania,35,22,https://www.flashscore.com/match/Yq7IBPoK/#/match-summary
67,12.07. 23:30,USA,Scotland,7,42,https://www.flashscore.com/match/YBVXtgak/#/match-summary
68,12.07. 03:30,Tonga,Italy,14,36,https://www.flashscore.com/match/ENIaa1FG/#/match-summary
69,10.07. 18:00,Uruguay,France A,28,43,https://www.flashscore.com/match/6cFi1Np4/#/match-summary
70,06.07. 22:00,Canada,Scotland,12,73,https://www.flashscore.com/match/0ppi3qGi/#/match-summary
71,06.07. 20:00,Argentina,France,13,28,https://www.flashscore.com/match/4OVmtFnk/#/match-summary
72,06.07. 20:00,Chile,Hong Kong,22,17,https://www.flashscore.com/match/6wFWmMgD/#/match-summary
73,06.07. 16:00,South Africa,Ireland,27,20,https://www.flashscore.com/match/lQSQBCys/#/match-summary
74,06.07. 10:45,Australia,Wales,25,16,https://www.flashscore.com/match/zTk4fB66/#/match-summary
75,06.07. 10:00,Japan,Maori All Blacks,26,14,https://www.flashscore.com/match/6wJXlGh5/#/match-summary
76,06.07. 08:05,New Zealand,England,16,15,https://www.flashscore.com/match/SGRUAWjm/#/match-summary
77,06.07. 01:00,USA,Romania,20,22,https://www.flashscore.com/match/pOQNkrP0/#/match-summary
78,05.07. 17:00,Georgia,Fiji,12,21,https://www.flashscore.com/match/xbNFi4fl/#/match-summary
79,05.07. 05:00,Samoa,Italy,33,25,https://www.flashscore.com/match/ETL9j6Wo/#/match-summary
80,29.06. 11:00,Japan,Maori All Blacks,10,36,https://www.flashscore.com/match/bDFPjxOh/#/match-summary
81,22.06. 17:15,Barbarians,Fiji,45,32,https://www.flashscore.com/match/6mbmbg7s/#/match-summary
82,22.06. 14:00,South Africa,Wales,41,13,https://www.flashscore.com/match/z57H3FqK/#/match-summary
83,22.06. 06:50,Japan,England,17,52,https://www.flashscore.com/match/dE8D4eUD/#/match-summary
