date,home_team,away_team,home_score,away_score,key,date_2,Home_tries,Home_conv,Home_conv_att,Home_pg,Home_pg_att,Away_tries,Away_conv,Away_conv_att,Away_pg,Away_pg_att
21.09. 11:07,Fiji,Japan,41,17,https://www.flashscore.com/match/2Xnf6Rt3/#/match-summary,2024-09-21,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
21.09. 08:00,USA,Samoa,13,18,https://www.flashscore.com/match/Acj245BF/#/match-summary,2024-09-21,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
15.09. 07:05,Samoa,Japan,27,49,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary,2024-09-15,3.0,3.0,3.0,2.0,2.0,7.0,6.0,6.0,0.0,0.0
14.09. 11:05,Fiji,USA,22,3,https://www.flashscore.com/match/6ihh6nNR/#/match-summary,2024-09-14,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
14.09. 08:00,Tonga,Canada,30,17,https://www.flashscore.com/match/bRlp88hF/#/match-summary,2024-09-14,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
07.09. 11:05,Japan,USA,41,24,https://www.flashscore.com/match/bsoUK49b/#/match-summary,2024-09-07,5.0,5.0,5.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0
06.09. 04:00,Tonga,Fiji,19,50,https://www.flashscore.com/match/vwE34qPH/#/match-summary,2024-09-06,3.0,2.0,3.0,0.0,0.0,7.0,6.0,7.0,1.0,1.0
01.09. 02:00,USA,Canada,28,15,https://www.flashscore.com/match/QTnMMQvn/#/match-summary,2024-09-01,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
30.08. 05:00,Samoa,Tonga,43,17,https://www.flashscore.com/match/INPf65f5/#/match-summary,2024-08-30,6.0,5.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
25.08. 22:00,Canada,Japan,28,55,https://www.flashscore.com/match/n3HB2NgU/#/match-summary,2024-08-25,4.0,4.0,4.0,0.0,0.0,8.0,6.0,6.0,1.0,1.0
23.08. 07:00,Fiji,Samoa,42,16,https://www.flashscore.com/match/QF7m8RPh/#/match-summary,2024-08-23,6.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0
24.11. 14:00,Georgia,Tonga,22,7,https://www.flashscore.com/match/E7foxQ4F/#/match-summary,2024-11-24,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
23.11. 20:10,Italy,New Zealand,11,29,https://www.flashscore.com/match/rT9QgYGl/#/match-summary,2024-11-23,1.0,0.0,1.0,2.0,2.0,4.0,3.0,4.0,1.0,1.0
23.11. 18:00,Scotland A,Chile,19,17,https://www.flashscore.com/match/UqOkrbsp/#/match-summary,2024-11-23,3.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0
23.11. 17:40,Wales,South Africa,12,45,https://www.flashscore.com/match/d660BRnp/#/match-summary,2024-11-23,2.0,1.0,2.0,0.0,0.0,7.0,5.0,6.0,0.0,0.0
23.11. 16:00,Romania,Uruguay,21,23,https://www.flashscore.com/match/2ZwBktkA/#/match-summary,2024-11-23,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0
23.11. 15:10,Ireland,Fiji,52,17,https://www.flashscore.com/match/4W9895Hd/#/match-summary,2024-11-23,8.0,6.0,8.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0
23.11. 11:45,Spain,USA,23,26,https://www.flashscore.com/match/ULu3i2Kc/#/match-summary,2024-11-23,3.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,0.0,0.0
22.11. 20:10,France,Argentina,37,23,https://www.flashscore.com/match/SdHr2d98/#/match-summary,2024-11-22,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0
17.11. 16:10,Wales,Australia,20,52,https://www.flashscore.com/match/KMn0Fe5F/#/match-summary,2024-11-17,2.0,2.0,2.0,2.0,2.0,8.0,6.0,8.0,0.0,0.0
17.11. 14:00,England A,Australia A,38,17,https://www.flashscore.com/match/EJYPV6aM/#/match-summary,2024-11-17,6.0,4.0,4.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0
17.11. 13:40,Italy,Georgia,20,17,https://www.flashscore.com/match/xMPTGmPM/#/match-summary,2024-11-17,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
16.11. 17:40,England,South Africa,20,29,https://www.flashscore.com/match/KWVZYcuM/#/match-summary,2024-11-16,2.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,1.0,1.0
16.11. 16:30,USA,Tonga,36,17,https://www.flashscore.com/match/A5pTvPzh/#/match-summary,2024-11-16,5.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0
16.11. 16:00,Romania,Canada,35,27,https://www.flashscore.com/match/UVrHTbSj/#/match-summary,2024-11-16,5.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
16.11. 15:10,Scotland,Portugal,59,21,https://www.flashscore.com/match/AH8c69S0/#/match-summary,2024-11-16,9.0,6.0,8.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0
16.11. 14:00,Spain,Fiji,19,33,https://www.flashscore.com/match/OKW26u5m/#/match-summary,2024-11-16,1.0,0.0,0.0,4.0,4.0,5.0,4.0,5.0,0.0,0.0
16.11. 13:30,Japan,Uruguay,36,20,https://www.flashscore.com/match/xY3xyszH/#/match-summary,2024-11-16,5.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
16.11. 13:00,Netherlands,Chile,20,17,https://www.flashscore.com/match/U70Ux354/#/match-summary,2024-11-16,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
16.11. 13:00,Uganda,Kenya,5,21,https://www.flashscore.com/match/dnAqJIlg/#/match-summary,2024-11-16,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0
16.11. 08:00,Hong Kong,Brazil,38,17,https://www.flashscore.com/match/QViO0eWH/#/match-summary,2024-11-16,4.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0
16.11. 07:00,South Korea,Zimbabwe,22,27,https://www.flashscore.com/match/lfjxYpuH/#/match-summary,2024-11-16,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0
10.11. 13:40,Wales,Fiji,19,24,https://www.flashscore.com/match/A9YCKVPc/#/match-summary,2024-11-10,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,4.0,4.0
10.11. 13:00,Georgia,New Zealand A,13,31,https://www.flashscore.com/match/SfAR81WG/#/match-summary,2024-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09.11. 16:00,Portugal,USA,17,21,https://www.flashscore.com/match/UoPgQPLb/#/match-summary,2024-11-09,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0
09.11. 16:00,Romania,Tonga,25,15,https://www.flashscore.com/match/IBcsHLro/#/match-summary,2024-11-09,2.0,0.0,0.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0
09.11. 13:00,Kenya,Uganda,27,25,https://www.flashscore.com/match/GlQpHdJ5/#/match-summary,2024-11-09,4.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0
09.11. 11:45,Spain,Uruguay,33,24,https://www.flashscore.com/match/ALd43Goo/#/match-summary,2024-11-09,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0
09.11. 11:00,Canada,Chile,14,44,https://www.flashscore.com/match/j1D2O3jB/#/match-summary,2024-11-09,1.0,0.0,0.0,3.0,3.0,7.0,3.0,3.0,1.0,1.0
09.11. 08:00,Hong Kong,Brazil,10,23,https://www.flashscore.com/match/OIDjYN9t/#/match-summary,2024-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08.11. 20:10,Ireland,New Zealand,13,23,https://www.flashscore.com/match/beYgafgR/#/match-summary,2024-11-08,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,6.0,6.0
05.11. 15:30,United Arab Emirates,Zimbabwe,22,62,https://www.flashscore.com/match/IVTwOmZG/#/match-summary,2024-11-05,3.0,2.0,2.0,1.0,1.0,9.0,7.0,7.0,1.0,1.0
02.11. 17:40,Scotland,Fiji,57,17,https://www.flashscore.com/match/IJTIDizR/#/match-summary,2024-11-02,8.0,7.0,8.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0
02.11. 17:30,Munster,New Zealand A,24,38,https://www.flashscore.com/match/GMcuUhmC/#/match-summary,2024-11-02,4.0,1.0,1.0,0.0,0.0,6.0,4.0,4.0,0.0,0.0
02.11. 15:10,England,New Zealand,22,24,https://www.flashscore.com/match/6mGn1GOE/#/match-summary,2024-11-02,1.0,1.0,1.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0
06.10. 19:40,Chile,Brazil,36,10,https://www.flashscore.com/match/Ewo9t0Yp/#/match-summary,2024-10-06,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27.07. 20:00,Uruguay,Scotland,19,31,https://www.flashscore.com/match/MizAFD5E/#/match-summary,2024-07-27,3.0,2.0,3.0,0.0,0.0,5.0,3.0,5.0,0.0,0.0
27.07. 19:30,Brazil,Belgium,47,25,https://www.flashscore.com/match/ELBFIXb4/#/match-summary,2024-07-27,5.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0
20.07. 23:15,Paraguay,Belgium,20,45,https://www.flashscore.com/match/8rkl2CEN/#/match-summary,2024-07-20,3.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,1.0,1.0
20.07. 19:30,Brazil,Hong Kong,25,26,https://www.flashscore.com/match/zVjt4YqB/#/match-summary,2024-07-20,3.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,0.0,0.0
19.07. 10:45,Reds,Wales,35,36,https://www.flashscore.com/match/fHGS2zM8/#/match-summary,2024-07-19,5.0,5.0,5.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0
19.07. 03:30,Tonga,Spain,20,29,https://www.flashscore.com/match/hnaP7Gpn/#/match-summary,2024-07-19,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,5.0
14.07. 01:00,Paraguay,Hong Kong,12,80,https://www.flashscore.com/match/EHcD0awJ/#/match-summary,2024-07-14,2.0,1.0,1.0,0.0,0.0,12.0,10.0,10.0,0.0,0.0
13.07. 20:00,Chile,Belgium,33,5,https://www.flashscore.com/match/6if52L86/#/match-summary,2024-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.07. 14:00,Namibia,Portugal,22,37,https://www.flashscore.com/match/AP0d4svf/#/match-summary,2024-07-13,1.0,1.0,1.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0
13.07. 04:00,Samoa,Spain,34,30,https://www.flashscore.com/match/xC2l639s/#/match-summary,2024-07-13,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
13.07. 00:00,Canada,Romania,35,22,https://www.flashscore.com/match/Yq7IBPoK/#/match-summary,2024-07-13,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0
12.07. 03:30,Tonga,Italy,14,36,https://www.flashscore.com/match/ENIaa1FG/#/match-summary,2024-07-12,2.0,2.0,2.0,0.0,0.0,5.0,3.0,3.0,1.0,1.0
06.07. 22:00,Canada,Scotland,12,73,https://www.flashscore.com/match/0ppi3qGi/#/match-summary,2024-07-06,2.0,1.0,2.0,0.0,0.0,11.0,9.0,11.0,0.0,0.0
06.07. 20:00,Argentina,France,13,28,https://www.flashscore.com/match/4OVmtFnk/#/match-summary,2024-07-06,2.0,0.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0
06.07. 20:00,Chile,Hong Kong,22,17,https://www.flashscore.com/match/6wFWmMgD/#/match-summary,2024-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06.07. 16:00,South Africa,Ireland,27,20,https://www.flashscore.com/match/lQSQBCys/#/match-summary,2024-07-06,3.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0
06.07. 10:45,Australia,Wales,25,16,https://www.flashscore.com/match/zTk4fB66/#/match-summary,2024-07-06,3.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,3.0,3.0
06.07. 10:00,Japan,Maori All Blacks,26,14,https://www.flashscore.com/match/6wJXlGh5/#/match-summary,2024-07-06,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0
06.07. 08:05,New Zealand,England,16,15,https://www.flashscore.com/match/SGRUAWjm/#/match-summary,2024-07-06,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
06.07. 01:00,USA,Romania,20,22,https://www.flashscore.com/match/pOQNkrP0/#/match-summary,2024-07-06,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,5.0
05.07. 17:00,Georgia,Fiji,12,21,https://www.flashscore.com/match/xbNFi4fl/#/match-summary,2024-07-05,0.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,2.0,2.0
05.07. 05:00,Samoa,Italy,33,25,https://www.flashscore.com/match/ETL9j6Wo/#/match-summary,2024-07-05,4.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0
29.06. 11:00,Japan,Maori All Blacks,10,36,https://www.flashscore.com/match/bDFPjxOh/#/match-summary,2024-06-29,2.0,0.0,2.0,0.0,0.0,6.0,3.0,6.0,0.0,0.0
22.06. 17:15,Barbarians,Fiji,45,32,https://www.flashscore.com/match/6mbmbg7s/#/match-summary,2024-06-22,7.0,5.0,7.0,0.0,0.0,4.0,3.0,4.0,2.0,2.0
