home_team,away_team,home_score,away_score,Home_tries,Away_tries,Home_conv,Away_conv,Home_conv_att,Away_conv_att,Home_pg,Away_pg,Home_pg_att,Away_pg_att,Home_dg,Away_dg,Home_dg_att,Away_dg_att,date,home_num,away_num
France,New Zealand,27,13,2.0,2.0,1.0,0.0,2.0,2.0,5.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,2023-09-08,8,17
Italy,Namibia,52,8,7.0,1.0,7.0,0.0,7.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2023-09-09,12,15
Ireland,Romania,82,8,12.0,1.0,11.0,0.0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2023-09-09,11,20
Australia,Georgia,35,15,4.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2023-09-09,1,9
England,Argentina,27,10,0.0,1.0,0.0,1.0,0.0,1.0,6.0,1.0,8.0,2.0,3.0,0.0,3.0,0.0,2023-09-09,6,0
Wales,Fiji,32,26,4.0,4.0,3.0,3.0,4.0,4.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2023-09-10,31,7
Japan,Chile,42,12,6.0,2.0,6.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-10,13,5
South Africa,Scotland,18,3,2.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,2023-09-10,23,22
France,Uruguay,27,12,3.0,2.0,3.0,1.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2023-09-14,8,30
New Zealand,Namibia,71,3,11.0,0.0,8.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2023-09-15,17,15
Samoa,Chile,43,10,5.0,1.0,3.0,1.0,5.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2023-09-16,21,5
Wales,Portugal,28,8,4.0,1.0,4.0,0.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2023-09-16,31,19
Ireland,Tonga,59,16,8.0,1.0,8.0,1.0,8.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,2023-09-16,11,26
South Africa,Romania,76,0,12.0,0.0,7.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2023-09-17,23,20
England,Japan,34,12,4.0,0.0,4.0,0.0,4.0,0.0,2.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,2023-09-17,6,13
Australia,Fiji,15,22,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,7.0,0.0,0.0,0.0,0.0,2023-09-17,1,7
Italy,Uruguay,38,17,5.0,2.0,5.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2023-09-20,12,30
France,Namibia,96,0,14.0,0.0,12.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-21,8,15
Argentina,Samoa,19,10,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,2023-09-22,0,21
Georgia,Portugal,18,18,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2023-09-23,9,19
England,Chile,71,0,11.0,0.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-23,6,5
South Africa,Ireland,8,13,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2023-09-23,23,11
Wales,Australia,40,6,3.0,0.0,2.0,0.0,3.0,0.0,6.0,2.0,7.0,2.0,1.0,0.0,1.0,0.0,2023-09-24,31,1
Scotland,Tonga,45,17,7.0,2.0,5.0,2.0,7.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2023-09-24,22,26
Uruguay,Namibia,36,26,5.0,2.0,4.0,2.0,5.0,2.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,2023-09-27,30,15
Japan,Samoa,28,22,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2023-09-28,13,21
New Zealand,Italy,96,17,14.0,2.0,14.0,2.0,14.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2023-09-29,17,12
Scotland,Romania,84,0,12.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-30,22,20
Fiji,Georgia,17,12,2.0,0.0,2.0,0.0,2.0,0.0,1.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,2023-09-30,7,9
Argentina,Chile,59,5,8.0,1.0,8.0,0.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2023-09-30,0,5
Australia,Portugal,34,14,5.0,2.0,3.0,2.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2023-10-01,1,19
South Africa,Tonga,49,18,7.0,3.0,7.0,0.0,7.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2023-10-01,23,26
New Zealand,Uruguay,73,0,11.0,0.0,9.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-05,17,30
France,Italy,60,7,8.0,1.0,7.0,1.0,7.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2023-10-06,8,12
Wales,Georgia,43,19,6.0,3.0,5.0,2.0,6.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2023-10-07,31,9
England,Samoa,18,17,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2023-10-07,6,21
Ireland,Scotland,36,14,6.0,2.0,3.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-07,11,22
Japan,Argentina,27,39,3.0,5.0,3.0,4.0,3.0,5.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,2023-10-08,13,0
Fiji,Portugal,23,24,2.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2023-10-08,7,19
Tonga,Romania,45,24,7.0,3.0,5.0,3.0,7.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2023-10-08,26,20
Wales,Argentina,17,29,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,2023-10-14,31,0
Ireland,New Zealand,24,28,3.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,2023-10-14,11,17
France,South Africa,28,29,3.0,4.0,2.0,3.0,3.0,4.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2023-10-15,8,23
England,Fiji,30,24,2.0,3.0,1.0,3.0,2.0,3.0,5.0,1.0,6.0,4.0,1.0,0.0,1.0,0.0,2023-10-15,6,7
Argentina,New Zealand,6,44,0.0,7.0,0.0,3.0,0.0,7.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2023-10-20,0,17
England,South Africa,15,16,0.0,1.0,0.0,1.0,0.0,1.0,4.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,2023-10-21,6,23
Argentina,England,23,26,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,2023-10-27,0,6
New Zealand,South Africa,11,12,1.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,2023-10-28,17,23
France,Ireland,17,38,2.0,5.0,2.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2024-02-02,8,11
Wales,Scotland,26,27,4.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2024-02-03,31,22
Italy,England,24,27,3.0,2.0,3.0,1.0,3.0,1.0,1.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,2024-02-03,12,6
England,Wales,16,14,2.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2024-02-10,6,31
Scotland,France,16,20,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,2024-02-10,22,8
Ireland,Italy,36,0,6.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-11,11,12
Scotland,England,30,21,3.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,2024-02-24,22,6
Ireland,Wales,31,7,4.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-02-24,11,31
France,Italy,13,13,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2024-02-25,8,12
England,Ireland,23,22,3.0,2.0,1.0,0.0,3.0,2.0,1.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,2024-03-09,6,11
Italy,Scotland,31,29,3.0,4.0,2.0,3.0,3.0,4.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2024-03-09,12,22
Wales,France,24,45,3.0,5.0,3.0,4.0,3.0,5.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,2024-03-10,31,8
France,England,33,31,3.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,2024-03-16,8,6
Ireland,Scotland,17,13,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2024-03-16,11,22
Wales,Italy,21,24,3.0,2.0,3.0,1.0,3.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,2024-03-16,31,12
South Africa,Wales,41,13,5.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2024-06-22,23,31
Japan,England,17,52,2.0,8.0,2.0,6.0,2.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-06-22,13,6
Georgia,Fiji,12,21,0.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2024-07-05,9,7
Samoa,Italy,33,25,4.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,2024-07-05,21,12
New Zealand,England,16,15,2.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2024-07-06,17,6
Chile,Hong Kong,22,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-06,5,10
South Africa,Ireland,27,20,3.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2024-07-06,23,11
Australia,Wales,25,16,3.0,1.0,2.0,0.0,3.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2024-07-06,1,31
Canada,Scotland,12,73,2.0,11.0,1.0,9.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-06,4,22
USA,Romania,20,22,2.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,2024-07-06,27,20
Argentina,France,13,28,2.0,3.0,0.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,2024-07-06,0,8
Tonga,Italy,14,36,2.0,5.0,2.0,3.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2024-07-12,26,12
USA,Scotland,7,42,1.0,6.0,1.0,6.0,1.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2024-07-12,27,22
Namibia,Portugal,22,37,1.0,4.0,1.0,4.0,1.0,4.0,5.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,2024-07-13,15,19
Canada,Romania,35,22,4.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2024-07-13,4,20
Samoa,Spain,34,30,4.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,2024-07-13,21,25
Chile,Belgium,33,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-13,5,2
Argentina,France,33,25,5.0,3.0,3.0,2.0,3.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2024-07-13,0,8
South Africa,Ireland,24,25,0.0,1.0,0.0,1.0,0.0,1.0,8.0,4.0,8.0,4.0,0.0,2.0,0.0,2.0,2024-07-13,23,11
New Zealand,England,24,17,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2024-07-13,17,6
Japan,Georgia,23,25,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2024-07-13,13,9
Australia,Wales,36,28,4.0,4.0,2.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2024-07-13,1,31
Paraguay,Hong Kong,12,80,2.0,12.0,1.0,10.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-14,18,10
Tonga,Spain,20,29,3.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,2024-07-19,26,25
Paraguay,Belgium,20,45,3.0,6.0,1.0,6.0,1.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2024-07-20,18,2
Brazil,Hong Kong,25,26,3.0,4.0,1.0,3.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2024-07-20,3,10
New Zealand,Fiji,47,5,7.0,1.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-20,17,7
Australia,Georgia,40,29,6.0,4.0,5.0,3.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2024-07-20,1,9
South Africa,Portugal,64,21,10.0,3.0,7.0,3.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-07-20,23,19
Uruguay,Argentina,5,79,1.0,12.0,0.0,8.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2024-07-20,30,0
Chile,Scotland,11,52,1.0,8.0,0.0,6.0,1.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2024-07-20,5,22
Japan,Italy,14,42,2.0,5.0,2.0,4.0,2.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2024-07-21,13,12
Uruguay,Scotland,19,31,3.0,5.0,2.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-27,30,22
Brazil,Belgium,47,25,5.0,3.0,5.0,2.0,5.0,2.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2024-07-27,3,2
Australia,South Africa,7,33,1.0,5.0,1.0,4.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2024-08-10,1,23
New Zealand,Argentina,30,38,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,2024-08-10,17,0
Australia,South Africa,12,30,0.0,4.0,0.0,2.0,0.0,4.0,4.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,2024-08-17,1,23
New Zealand,Argentina,42,10,6.0,1.0,6.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2024-08-17,17,0
Fiji,Samoa,42,16,6.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,2024-08-23,7,21
Canada,Japan,28,55,4.0,8.0,4.0,6.0,4.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2024-08-25,4,13
Samoa,Tonga,43,17,6.0,2.0,5.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2024-08-30,21,26
South Africa,New Zealand,31,27,3.0,4.0,2.0,2.0,3.0,4.0,4.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,2024-08-31,23,17
Argentina,Australia,19,20,1.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,2024-08-31,0,1
USA,Canada,28,15,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2024-09-01,27,4
Tonga,Fiji,19,50,3.0,7.0,2.0,6.0,3.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2024-09-06,26,7
Argentina,Australia,67,27,9.0,3.0,8.0,3.0,9.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2024-09-07,0,1
South Africa,New Zealand,18,12,2.0,0.0,1.0,0.0,2.0,0.0,2.0,4.0,3.0,7.0,0.0,0.0,1.0,0.0,2024-09-07,23,17
Japan,USA,41,24,5.0,3.0,5.0,3.0,5.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2024-09-07,13,27
Tonga,Canada,30,17,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2024-09-14,26,4
Fiji,USA,22,3,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2024-09-14,7,27
Samoa,Japan,27,49,3.0,7.0,3.0,6.0,3.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2024-09-15,21,13
Australia,New Zealand,28,31,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2024-09-21,1,17
Argentina,South Africa,29,28,4.0,3.0,3.0,2.0,4.0,3.0,1.0,3.0,3.0,4.0,0.0,0.0,0.0,1.0,2024-09-21,0,23
USA,Samoa,13,18,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2024-09-21,27,21
Fiji,Japan,41,17,5.0,2.0,5.0,2.0,5.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2024-09-21,7,13
South Africa,Argentina,48,7,7.0,1.0,5.0,1.0,7.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2024-09-28,23,0
New Zealand,Australia,33,13,5.0,1.0,4.0,1.0,5.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2024-09-28,17,1
Chile,Brazil,36,10,5.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2024-10-06,5,3
Japan,New Zealand,19,64,3.0,10.0,2.0,7.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-26,13,17
England,New Zealand,22,24,1.0,3.0,1.0,3.0,1.0,3.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,2024-11-02,6,17
Scotland,Fiji,57,17,8.0,3.0,7.0,1.0,8.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-11-02,22,7
United Arab Emirates,Zimbabwe,22,62,3.0,9.0,2.0,7.0,2.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2024-11-05,29,32
Ireland,New Zealand,13,23,1.0,1.0,1.0,0.0,1.0,0.0,2.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,2024-11-08,11,17
Canada,Chile,14,44,1.0,7.0,0.0,3.0,0.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2024-11-09,4,5
Portugal,USA,17,21,2.0,3.0,2.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-11-09,19,27
Hong Kong,Brazil,10,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-09,10,3
England,Australia,37,42,5.0,5.0,3.0,4.0,5.0,5.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,2024-11-09,6,1
Spain,Uruguay,33,24,4.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2024-11-09,25,30
Italy,Argentina,18,50,2.0,7.0,0.0,6.0,1.0,7.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2024-11-09,12,0
Romania,Tonga,25,15,2.0,2.0,0.0,1.0,0.0,1.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,2024-11-09,20,26
France,Japan,52,12,8.0,2.0,6.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-09,8,13
Kenya,Uganda,27,25,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2024-11-09,14,28
Scotland,South Africa,15,32,0.0,4.0,0.0,3.0,1.0,3.0,5.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,2024-11-10,22,23
Wales,Fiji,19,24,3.0,2.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,2024-11-10,31,7
Ireland,Argentina,22,19,3.0,1.0,2.0,1.0,3.0,1.0,0.0,4.0,0.0,4.0,1.0,0.0,1.0,1.0,2024-11-15,11,0
Hong Kong,Brazil,38,17,4.0,3.0,3.0,1.0,3.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2024-11-16,10,3
USA,Tonga,36,17,5.0,3.0,4.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-11-16,27,26
France,New Zealand,30,29,3.0,2.0,3.0,2.0,3.0,2.0,3.0,5.0,3.0,5.0,0.0,0.0,0.0,1.0,2024-11-16,8,17
Scotland,Portugal,59,21,9.0,3.0,6.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-16,22,19
Romania,Canada,35,27,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2024-11-16,20,4
Japan,Uruguay,36,20,5.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2024-11-16,13,30
England,South Africa,20,29,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2024-11-16,6,23
Spain,Fiji,19,33,1.0,5.0,0.0,4.0,0.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2024-11-16,25,7
South Korea,Zimbabwe,22,27,3.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2024-11-16,24,32
Netherlands,Chile,20,17,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2024-11-16,16,5
Uganda,Kenya,5,21,1.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-16,28,14
Italy,Georgia,20,17,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2024-11-17,12,9
Wales,Australia,20,52,2.0,8.0,2.0,6.0,2.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2024-11-17,31,1
France,Argentina,37,23,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2024-11-22,8,0
Italy,New Zealand,11,29,1.0,4.0,0.0,3.0,1.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2024-11-23,12,17
Ireland,Fiji,52,17,8.0,2.0,6.0,2.0,8.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2024-11-23,11,7
Spain,USA,23,26,3.0,4.0,1.0,3.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2024-11-23,25,27
Romania,Uruguay,21,23,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2024-11-23,20,30
Wales,South Africa,12,45,2.0,7.0,1.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-23,31,23
England,Japan,59,14,9.0,2.0,7.0,2.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2024-11-24,6,13
Scotland,Australia,27,13,4.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2024-11-24,22,1
Georgia,Tonga,22,7,3.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-11-24,9,26
Ireland,Australia,22,19,3.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,2024-11-30,11,1
