,mean,sd,hdi_3%,hdi_97%,r_hat
home,0.18,0.08,0.02,0.33,1.01
atts_mu,1.5,0.35,0.84,2.16,1.01
atts[Argentina],1.63,0.39,0.84,2.36,1.01
atts[Australia],1.47,0.39,0.78,2.28,1.01
atts[Canada],1.31,0.39,0.64,2.09,1.01
atts[England],1.67,0.37,0.96,2.36,1.01
atts[Fiji],1.62,0.37,0.91,2.29,1.01
atts[France],1.79,0.37,1.07,2.47,1.01
atts[Georgia],1.39,0.41,0.66,2.21,1.01
atts[Ireland],1.56,0.37,0.86,2.26,1.01
atts[Italy],1.4,0.37,0.69,2.07,1.01
atts[Japan],1.7,0.4,0.98,2.49,1.01
atts[New Zealand],1.71,0.38,0.99,2.4,1.01
atts[Portugal],1.55,0.4,0.82,2.34,1.01
atts[Samoa],1.41,0.38,0.71,2.14,1.01
atts[Scotland],1.59,0.37,0.85,2.27,1.01
atts[South Africa],1.87,0.37,1.18,2.58,1.01
atts[Spain],1.46,0.41,0.68,2.27,1.01
atts[Tonga],1.38,0.39,0.61,2.07,1.01
atts[USA],1.29,0.4,0.55,2.05,1.01
atts[Uruguay],1.35,0.41,0.62,2.16,1.01
atts[Wales],1.36,0.37,0.66,2.04,1.01
defs_mu,1.5,0.35,0.84,2.16,1.01
defs[Argentina],1.51,0.37,0.8,2.19,1.01
defs[Australia],1.57,0.37,0.86,2.26,1.01
defs[Canada],1.81,0.41,1.04,2.57,1.01
defs[England],1.45,0.36,0.76,2.13,1.01
defs[Fiji],1.31,0.38,0.61,2.07,1.01
defs[France],1.47,0.39,0.71,2.18,1.01
defs[Georgia],1.42,0.41,0.67,2.23,1.01
defs[Ireland],1.17,0.38,0.45,1.89,1.01
defs[Italy],1.6,0.37,0.93,2.35,1.01
defs[Japan],1.82,0.37,1.11,2.5,1.01
defs[New Zealand],1.17,0.38,0.46,1.91,1.01
defs[Portugal],1.82,0.5,0.9,2.74,1.01
defs[Samoa],1.64,0.42,0.85,2.4,1.01
defs[Scotland],1.41,0.37,0.73,2.15,1.01
defs[South Africa],1.13,0.39,0.38,1.86,1.01
defs[Spain],1.67,0.42,0.88,2.46,1.01
defs[Tonga],1.84,0.45,1.01,2.71,1.01
defs[USA],1.41,0.38,0.7,2.13,1.01
defs[Uruguay],1.59,0.41,0.78,2.33,1.01
defs[Wales],1.71,0.36,1.02,2.39,1.01
atts_sd,0.24,0.08,0.08,0.38,1.01
defs_sd,0.31,0.09,0.14,0.46,1.0
sigma_home_points,5.03,1.32,2.7,7.62,1.0
sigma_away_points,5.14,1.43,2.56,7.8,1.0
nu_away,1.24,0.34,0.68,1.9,1.0
nu_home,1.35,0.37,0.71,2.07,1.0
home_theta[0],23.08,3.61,16.6,29.78,1.0
home_theta[1],20.99,3.37,14.19,26.87,1.0
home_theta[2],19.29,3.49,12.94,25.61,1.0
home_theta[3],26.02,5.43,16.69,36.6,1.0
home_theta[4],35.44,6.15,24.81,47.83,1.0
home_theta[5],28.4,4.99,18.95,37.16,1.0
home_theta[6],31.53,4.1,23.86,39.7,1.0
home_theta[7],25.27,3.94,17.78,32.14,1.0
home_theta[8],35.77,6.94,23.1,48.88,1.0
home_theta[9],20.28,4.18,12.98,28.61,1.0
home_theta[10],20.5,3.0,14.27,25.53,1.0
home_theta[11],20.56,3.77,13.64,27.72,1.0
home_theta[12],23.14,3.66,16.61,30.39,1.0
home_theta[13],23.53,4.05,16.55,31.19,1.0
home_theta[14],30.69,4.25,22.43,38.53,1.0
home_theta[15],14.61,2.73,9.79,19.9,1.0
home_theta[16],28.35,3.9,21.45,35.9,1.0
home_theta[17],28.94,4.98,19.88,38.11,1.0
home_theta[18],24.97,3.0,19.37,30.99,1.0
home_theta[19],26.95,4.7,17.93,35.36,1.0
home_theta[20],28.35,3.9,21.45,35.9,1.0
home_theta[21],28.94,4.98,19.88,38.11,1.0
home_theta[22],24.97,3.0,19.37,30.99,1.0
home_theta[23],26.95,4.7,17.93,35.36,1.0
home_theta[24],16.44,3.88,9.9,23.5,1.0
home_theta[25],30.02,4.49,22.06,39.5,1.0
home_theta[26],30.02,4.49,22.06,39.5,1.0
home_theta[27],16.44,3.88,9.9,23.5,1.0
home_theta[28],31.91,7.92,17.54,44.57,1.0
home_theta[29],27.56,4.31,18.7,35.42,1.0
home_theta[30],31.89,9.09,16.37,46.59,1.0
home_theta[31],26.9,4.92,16.43,35.64,1.0
home_theta[32],17.93,3.64,10.79,24.48,1.0
home_theta[33],27.63,7.26,16.02,41.19,1.0
home_theta[34],29.42,5.07,19.02,38.56,1.0
home_theta[35],24.86,4.35,16.98,33.15,1.0
home_theta[36],30.34,4.98,21.56,39.98,1.0
home_theta[37],20.17,3.93,13.09,27.33,1.0
home_theta[38],37.45,5.49,26.12,46.72,1.0
home_theta[39],21.49,4.33,14.06,29.98,1.0
home_theta[40],20.52,2.72,15.32,25.39,1.0
home_theta[41],22.13,4.52,14.11,30.56,1.0
home_theta[42],18.51,3.32,12.52,24.63,1.0
home_theta[43],30.82,4.95,20.98,38.8,1.0
home_theta[44],22.21,3.85,15.79,30.2,1.0
home_theta[45],44.58,8.1,27.44,56.44,1.0
home_theta[46],17.43,2.89,11.76,22.64,1.0
home_theta[47],18.41,3.43,12.34,24.77,1.0
home_theta[48],25.86,3.97,18.89,33.18,1.0
home_theta[49],32.86,6.77,19.16,44.45,1.0
home_theta[50],19.57,4.08,12.21,27.71,1.0
home_theta[51],39.01,14.53,15.94,62.17,1.0
home_theta[52],19.86,3.24,13.35,25.77,1.0
home_theta[53],23.24,4.12,16.03,31.18,1.0
home_theta[54],20.56,4.43,12.02,28.86,1.0
home_theta[55],22.52,3.35,16.43,28.76,1.0
home_theta[56],32.33,3.74,24.68,38.54,1.0
away_theta[0],21.23,4.64,13.09,30.44,1.0
away_theta[1],26.53,4.25,17.49,33.9,1.0
away_theta[2],27.32,3.72,19.99,34.19,1.0
away_theta[3],24.75,3.95,17.49,31.99,1.0
away_theta[4],16.82,2.7,11.6,21.71,1.0
away_theta[5],13.31,2.72,8.63,18.66,1.01
away_theta[6],12.7,2.48,8.43,17.65,1.0
away_theta[7],21.97,3.25,16.15,28.44,1.0
away_theta[8],18.1,3.68,11.81,25.17,1.0
away_theta[9],24.55,4.09,16.92,31.96,1.0
away_theta[10],20.56,3.18,14.61,26.57,1.0
away_theta[11],33.39,5.36,24.3,44.07,1.0
away_theta[12],22.72,3.45,16.15,29.24,1.0
away_theta[13],15.95,2.73,11.0,20.96,1.0
away_theta[14],23.61,4.63,15.73,32.57,1.0
away_theta[15],36.21,5.2,26.16,45.21,1.0
away_theta[16],17.22,2.26,13.08,21.56,1.0
away_theta[17],18.92,2.93,14.07,24.77,1.0
away_theta[18],15.16,3.57,9.14,21.92,1.0
away_theta[19],27.11,2.96,21.91,33.24,1.0
away_theta[20],17.22,2.26,13.08,21.56,1.0
away_theta[21],18.92,2.93,14.07,24.77,1.0
away_theta[22],15.16,3.57,9.14,21.92,1.0
away_theta[23],27.11,2.96,21.91,33.24,1.0
away_theta[24],31.41,3.5,24.37,37.65,1.0
away_theta[25],16.87,4.01,10.24,24.73,1.0
away_theta[26],16.87,4.01,10.24,24.73,1.0
away_theta[27],31.41,3.5,24.37,37.65,1.0
away_theta[28],15.45,3.04,9.72,21.12,1.0
away_theta[29],35.59,11.56,18.2,56.64,1.0
away_theta[30],20.93,5.05,11.86,30.33,1.0
away_theta[31],15.46,3.33,9.64,22.3,1.0
away_theta[32],33.26,10.27,16.81,51.43,1.0
away_theta[33],22.65,4.03,14.91,30.23,1.0
away_theta[34],24.26,7.15,11.96,37.23,1.0
away_theta[35],13.81,3.22,7.49,19.35,1.0
away_theta[36],29.93,10.09,13.88,48.13,1.0
away_theta[37],19.15,4.84,11.33,28.74,1.0
away_theta[38],20.95,4.99,12.71,30.84,1.0
away_theta[39],34.92,8.42,20.71,50.74,1.0
away_theta[40],23.8,3.3,18.16,30.22,1.0
away_theta[41],20.98,3.66,14.51,27.97,1.0
away_theta[42],18.0,3.28,11.69,23.81,1.0
away_theta[43],18.98,4.26,11.71,26.7,1.0
away_theta[44],25.99,6.68,13.76,38.68,1.0
away_theta[45],24.73,6.23,14.39,36.94,1.0
away_theta[46],28.17,4.2,20.73,36.11,1.0
away_theta[47],26.88,4.06,19.47,34.16,1.0
away_theta[48],16.71,3.39,10.6,23.06,1.0
away_theta[49],24.27,5.47,15.12,34.27,1.0
away_theta[50],27.73,6.55,15.07,39.08,1.0
away_theta[51],19.71,4.07,11.96,27.33,1.0
away_theta[52],27.94,3.47,20.84,34.33,1.0
away_theta[53],24.53,4.69,15.87,32.92,1.0
away_theta[54],20.28,4.56,12.35,28.89,1.0
away_theta[55],24.34,4.54,16.3,32.5,1.0
away_theta[56],22.59,3.79,14.98,29.63,1.0
